"id";"objective";"year_id";"topic_id";"subject_purpose_id";"Abstraction";"Decomposition";"Algorithmic Thinking";"Evaluation";"Generalisation"
1;"Understands what an algorithm is and is able to express simple linear (non-branching) algorithms symbolically. (AL)";1;1;2;"";"";"TRUE";"";""
2;"Understands that computers need precise instructions. (AL)";1;1;1;"";"";"TRUE";"";""
3;"Demonstrates care and precision to avoid errors. (AL)";1;1;1;"";"";"TRUE";"";""
4;"Understands that algorithms are implemented on digital devices as programs. (AL)";2;1;2;"";"";"TRUE";"";""
5;"Designs simple algorithms using loops, and selection i.e. if statements. (AL)";2;1;1;"";"";"TRUE";"";""
6;"Uses logical reasoning to predict outcomes. (AL)";2;1;3;"";"";"TRUE";"";""
7;"Detects and corrects errors i.e. debugging, in algorithms. (AL)";2;1;1;"";"";"TRUE";"";""
8;"Designs solutions (algorithms) that use repetition and two-way selection i.e. if, then and else. (AL)";3;1;1;"";"";"TRUE";"";""
9;"Uses diagrams to express solutions. (AB)";3;1;1;"TRUE";"";"";"";""
10;"Uses logical reasoning to predict outputs, showing an awareness of inputs. (AL)";3;1;2;"";"";"TRUE";"";""
11;"Shows an awareness of tasks best completed by humans or computers. (EV)";4;1;1;"";"";"";"TRUE";""
12;"Designs solutions by decomposing a problem and creates a sub-solution for each of these parts. (DE) (AL) (AB)";4;1;1;"TRUE";"TRUE";"TRUE";"";""
13;"Recognises that different solutions exist for the same problem. (AL) (AB)";4;1;1;"TRUE";"";"TRUE";"";""
14;"Understands that iteration is the repetition of a process such as a loop. (AL)";5;1;2;"";"";"TRUE";"";""
15;"Recognises that different algorithms exist for the same problem. (AL) (GE)";5;1;3;"";"";"TRUE";"";"TRUE"
16;"Represents solutions using a structured notation. (AL) (AB)";5;1;2;"TRUE";"";"TRUE";"";""
17;"Can identify similarities and differences in situations and can use these to solve problems (pattern recognition). (GE)";5;1;1;"";"";"";"";"TRUE"
18;"Understands a recursive solution to a problem repeatedly applies the same solution to smaller instances of the problem. (AL) (GE)";6;1;1;"";"";"TRUE";"";"TRUE"
19;"Recognises that some problems share the same characteristics and use the same algorithm to solve both. (AL) (GE)";6;1;1;"";"";"TRUE";"";"TRUE"
20;"Understands the notion of performance for algorithms and appreciates that some algorithms have different performance characteristics for the same task. (AL) (EV)";6;1;3;"";"";"TRUE";"TRUE";""
21;"Recognises that the design of an algorithm is distinct from its expression in a programming language (which will depend on the programming constructs available). (AL) (AB)";7;1;1;"TRUE";"";"TRUE";"";""
22;"Evaluates the effectiveness of algorithms and models for similar problems. (AL) (AB) (GE)";7;1;2;"TRUE";"";"TRUE";"";"TRUE"
23;"Recognises where information can be filtered out in generalizing problem solutions. (AL) (AB) (GE)";7;1;1;"TRUE";"";"TRUE";"";"TRUE"
24;"Uses logical reasoning to explain how an algorithm works. (AL) (AB) (DE)";7;1;2;"TRUE";"TRUE";"TRUE";"";""
25;"Represents algorithms using structured language. (AL) (DE) (AB)";7;1;1;"TRUE";"TRUE";"TRUE";"";""
26;"Designs a solution to a problem that depends on solutions to smaller instances of the same problem (recursion). (AL) (DE) (AB) (GE)";8;1;1;"TRUE";"TRUE";"TRUE";"";"TRUE"
27;"Understands that some problems cannot be solved computationally. (AB) (GE)";8;1;3;"TRUE";"";"";"";"TRUE"
28;"Knows that users can develop their own programs, and can demonstrate this by creating a simple program in an environment that does not rely on text e.g. programmable robots etc. (AL)";1;2;1;"";"";"TRUE";"";""
29;" Executes, checks and changes programs. (AL)";1;2;1;"";"";"TRUE";"";""
30;"Understands that programs execute by following precise instructions. (AL)";1;2;1;"";"";"TRUE";"";""
31;"Uses arithmetic operators, if statements, and loops, within programs. (AL)";2;2;3;"";"";"TRUE";"";""
32;"Uses logical reasoning to predict the behaviour of programs. (AL)";2;2;3;"";"";"TRUE";"";""
33;"Detects and corrects simple semantic errors i.e. debugging, in programs. (AL)";2;2;1;"";"";"TRUE";"";""
34;"Creates programs that implement algorithms to achieve given goals. (AL)";3;2;1;"";"";"TRUE";"";""
35;"Declares and assigns variables. (AB)";3;2;1;"TRUE";"";"";"";""
36;"Uses post-tested loop e.g. until, and a sequence of selection statements in programs, including an if, then and else statement. (AL)";3;2;1;"";"";"TRUE";"";""
37;"Understands the difference between, and appropriately uses if and if, then and else statements. (AL)";4;2;1;"";"";"TRUE";"";""
38;" Uses a variable and relational operators within a loop to govern termination. (AL) (GE)";4;2;1;"";"";"TRUE";"";"TRUE"
