"id";"description";"solo_taxonomy_id";"topic_id";"ks4_content_id";"exam_board_id"
1;"Describe the term hardware";2;9999;9;3
2;"Describe the difference between early and modern computers";2;9999;11;3
3;"Explain the purpose of memory in terms of Von Neumann architecture";2;7;9;3
4;"Describe the purpose of the Central Processing Unit (CPU) ";2;7;9;3
5;"Describe the Fetch-Decode-Execute cycle";2;7;9;3
6;"Give the names of different CPU components: ALU, ACC, CIR, MAR, MDR, PC";1;7;9;3
7;"Describe the purpose of the CPU components: ALU, ACC, CIR, MAR, MDR, PC";2;7;9;3
8;"Explain the purpose of cache memory";3;7;9;3
9;"Explain what is meant by clock speed";2;7;9;3
10;"Name factors that improve CPU performance (Processor Speed, Bus Speed, Cache, Cores)";1;7;9;3
11;"Explain how different factors improve CPU performance";2;8;9;3
12;"Expain the purpose of RAM and ROM";3;8;9;3
13;"What is meant by dual core and quad core";1;7;9;3
14;"Name the different types of computer systems (General-purpose, Dedicated systems, control systems)";1;9;8;3
15;"Describe the purpose of different types of computer systems.";2;9;8;3
16;"Describe a embedded system";2;9;8;3
17;"Explain the advantage of an embedded system over a general-purpose system.";3;9;8;3
18;"Calculate the number of bytes in a kilobyte/megabyte/gigabyte";1;8;11;3
19;"Name the acronym RAM";1;8;11;3
20;"Give another name for solid-state memory";1;8;11;3
21;"Describe what is meant by volatile memory";2;8;11;3
22;"Explain how RAM can make programs faster";3;8;11;3
23;"List the different types of memory in order of speed";2;8;11;3
24;"Name the acronym ROM";1;8;11;3
25;"Describe what is meant by Read-Only Memory";2;8;11;3
26;"Describe the difference between ROM and RAM";3;8;11;3
27;"Identify the name for the type of storage when the computer does not have enough space in RAM";1;8;11;3
28;"Describe what happens when there is not enough storage in RAM";2;8;11;3
29;"Expain the effect of switching between RAM and using Virtual Memory";3;8;11;3
30;"Draw the relationship between Virtual Memory, Main memory, Cache and the CPU.";2;8;9;3
31;"Explain the effect of adding more RAM";3;8;11;3
32;"Explain the purpose of secondary storage";3;11;10;3
33;"Identify and name the types of Secondary storage";1;11;10;3
34;"Describe how information is stored in flash memory";2;11;10;3
35;"Describe how information is stored using magnetic storage";2;11;10;3
36;"Explain the advantage of magnetic storage";3;11;10;3
37;"List the different layers used in rewritable optical disks";2;11;10;3
38;"Describe how data is written to a rewritable optical disk";2;11;10;3
39;"Compare and describe the requirements for different types of optical storage";3;11;10;3
40;"Identify a flash memory device";1;11;10;3
41;"Explain the advantages and disadvantages of solid-state drives over magnetic drive";3;11;10;3
42;"Calculate the amount of storage required for given data";3;11;10;3
43;"Justify the reasons for a choosing a type of secondary storage";3;11;10;3
44;"List the considerations for selecting secondary storage";2;11;10;3
45;"List the benefits of a network";2;15;12;3
46;"Define the term Network";1;15;12;3
47;"List the different types of network (LAN, WAN, PAN, SAN, VPN)";2;15;12;3
48;"Describe given types of network";2;15;12;3
49;"Explain what is meant by a VPN";3;16;12;3
50;"Identify different network connections (UTP, Fibre-optic, wireless).";1;19;12;3
51;"Describe different network connections";2;17;12;3
52;"Explain how Fibre-optic cable transmits data.";3;17;12;3
53;"Give reasons why Fibre-optic cable has an advantage over UTP (Unshielded Twisted Pair)";3;17;12;3
54;"Define the term client-server";1;18;12;3
